STORE_ID,DISPLAY_NAME,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIPCODE,PHONE_NUMBER
31241,Lakeview Plaza,15754 South LaGrange Road,Lakeview Plaza,Orland Park,IL,60462,1-708-349-8898
31242,Danada Square West,112 Danada Square West,Danada Square West,Wheaton,IL,60187,1-630-221-0215
31246,The Quarry Shopping Center,9270 Joliet Road,The Quarry Shopping Center,Hodgkins,IL,60525,1-708-485-9120
31255,Woodfield Village Green,1480 Golf Road,Woodfield Village Green,Schaumburg,IL,60173,1-847-240-2723
31257,North & Sheffield Commons,"1000 West North Avenue, Suite D103",North & Sheffield Commons,Chicago,IL,60622,1-312-664-0230
31259,Barrett Pavilion,680 Barrett Parkway,Barrett Pavilion,Kennesaw,GA,30144,1-770-419-2755
31267,Scottsdale Pavilions,9019 East Talking Stick Way,Scottsdale Pavilions,Scottsdale,AZ,85250,1-480-905-1099
31269,Camelback Colonnade Shopping Center,"1949 East Camelback Road, Suite 146",Camelback Colonnade Shopping Center,Phoenix,AZ,85016,1-602-264-0003
31271,Village Fair North Shopping Center,12867 North Tatum Boulevard,Village Fair North Shopping Center,Phoenix,AZ,85032,1-602-953-5009
31274,The Gap Shopping Center,4115 North Harlem Avenue,The Gap Shopping Center,Norridge,IL,60706,1-708-457-1708
31275,The Crossings at Hobart,2395 East 81st Avenue,The Crossings at Hobart,Merrillville,IN,46410,1-219-736-5287
31276,Preston Forest Village,"11661 Preston Road, Suite 232",Preston Forest Village,Dallas,TX,75230,1-214-739-3091
31277,Heritage Point Shopping Center,2540 Cumberland Boulevard,Heritage Point Shopping Center,Smyrna,GA,30080,1-770-432-4775
31278,Clark & Wellington Shopping Center,3015 North Clark Street,Clark & Wellington Shopping Center,Chicago,IL,60657,1-773-348-7315
31281,Arrowhead Crossing Shopping Center,7665 West Bell Road,Arrowhead Crossing Shopping Center,Peoria,AZ,85382,1-623-486-5055
31288,Levittown Mews,3377 Hempstead Turnpike,Levittown Mews,Levittown,NY,11756,1-516-579-5163
31289,LAKE GROVE #55,2005 Smith Haven Plaza,LAKE GROVE #55,Lake Grove,NY,11755,1-631-979-3473
